aX,aY,aZ,gX,gY,gZ
-0.189,0.043,0.954,1.953,2.563,1.160
-0.187,0.042,0.957,1.038,2.075,0.183
-0.188,0.047,0.955,0.427,1.526,-0.061
-0.190,0.049,0.955,0.610,1.526,0.000
-0.191,0.054,0.954,0.488,1.465,0.244
-0.192,0.054,0.954,0.488,1.282,1.221
-0.192,0.051,0.952,0.854,1.221,1.343
-0.196,0.052,0.953,1.221,1.465,1.282
-0.201,0.052,0.951,1.587,1.587,1.709
-0.199,0.047,0.950,1.465,2.075,2.075
-0.195,0.045,0.951,1.160,2.075,2.258
-0.193,0.041,0.954,1.099,2.136,2.075
-0.189,0.041,0.955,1.038,1.953,0.854
-0.188,0.047,0.953,0.671,2.014,-0.244
-0.191,0.050,0.955,0.488,1.465,-0.183
-0.192,0.053,0.953,0.610,1.831,0.183
-0.195,0.055,0.956,1.038,1.587,0.610
-0.195,0.054,0.951,1.160,1.282,1.709
-0.192,0.050,0.953,1.221,2.014,1.770
-0.192,0.048,0.954,1.038,1.648,1.831
-0.192,0.047,0.950,0.916,1.648,1.648
-0.194,0.048,0.954,0.793,1.892,1.343
-0.195,0.049,0.951,0.732,1.831,1.465
-0.194,0.049,0.954,0.977,2.136,1.221
-0.197,0.049,0.953,1.770,2.075,1.038
-0.193,0.046,0.951,1.648,2.380,0.977
-0.188,0.042,0.956,1.587,2.441,0.671
-0.188,0.043,0.953,1.038,1.831,0.183
-0.190,0.049,0.952,0.671,1.953,-0.122
-0.190,0.055,0.956,0.549,1.587,0.305
-0.191,0.057,0.953,1.038,1.465,0.977
-0.188,0.055,0.956,1.587,1.831,1.465
-0.191,0.049,0.954,1.465,1.343,1.526
-0.190,0.045,0.953,1.343,1.648,1.587
-0.192,0.042,0.954,1.038,1.587,1.099
-0.196,0.047,0.953,0.793,1.465,1.038
-0.197,0.048,0.950,1.099,1.465,0.916
-0.198,0.047,0.952,0.977,2.014,0.732
-0.198,0.048,0.951,1.160,1.892,0.916
-0.192,0.048,0.953,1.160,2.625,0.977
-0.189,0.046,0.958,0.977,2.930,0.732
-0.183,0.045,0.952,0.549,1.831,0.610
-0.184,0.049,0.956,0.427,1.953,-0.366
-0.187,0.054,0.956,0.610,1.770,-0.183
-0.192,0.060,0.952,0.732,1.404,0.916
-0.189,0.057,0.953,1.465,1.648,2.197
-0.191,0.051,0.956,1.343,1.648,2.014
-0.191,0.048,0.952,1.648,1.465,2.380
-0.192,0.045,0.952,1.282,1.770,2.136
-0.193,0.045,0.954,0.854,1.770,1.648
-0.195,0.047,0.953,1.038,1.831,1.160
-0.196,0.048,0.950,1.099,2.197,0.854
-0.193,0.047,0.956,0.854,2.014,0.793

-0.191,0.049,0.954,0.977,1.953,0.732
-0.188,0.048,0.955,0.793,1.831,0.732
-0.189,0.049,0.956,1.038,1.831,0.244
-0.192,0.052,0.953,0.854,1.526,0.610
-0.191,0.052,0.954,0.793,1.587,0.732
-0.192,0.052,0.955,1.221,2.075,0.793
-0.194,0.054,0.952,1.526,1.465,1.465
-0.194,0.051,0.953,1.282,1.648,2.075
-0.192,0.047,0.952,1.282,1.770,2.197
-0.189,0.043,0.954,0.916,1.648,2.258
-0.189,0.045,0.953,0.427,1.282,1.648
-0.194,0.047,0.952,0.366,1.648,0.793
-0.195,0.051,0.956,0.854,1.770,0.366
-0.198,0.054,0.950,0.977,1.282,1.038
-0.194,0.053,0.954,1.221,2.136,1.221
-0.191,0.049,0.954,1.099,1.892,1.282
-0.191,0.046,0.955,1.221,1.831,1.221
-0.188,0.044,0.955,1.099,1.831,0.793
-0.189,0.046,0.951,1.038,1.526,0.671
-0.193,0.053,0.955,0.671,1.465,0.305
-0.197,0.057,0.953,0.854,1.465,0.549
-0.198,0.057,0.951,1.587,1.709,1.465
-0.195,0.051,0.953,1.587,1.953,2.136
-0.191,0.041,0.954,1.404,1.892,2.014
-0.190,0.040,0.952,0.732,1.587,1.465
-0.191,0.047,0.953,0.183,1.648,0.916
-0.197,0.057,0.955,-0.061,1.526,0.793
-0.195,0.057,0.953,0.977,1.709,1.099
-0.196,0.050,0.955,1.831,2.319,1.099
-0.195,0.046,0.949,2.136,2.136,1.343
-0.190,0.041,0.953,0.916,2.380,1.038
-0.190,0.049,0.957,0.183,1.831,0.122
-0.192,0.055,0.955,0.549,1.587,0.305
-0.191,0.056,0.955,1.282,1.770,0.305
-0.193,0.056,0.954,1.221,1.587,0.916
-0.195,0.052,0.952,1.526,1.770,1.343
-0.195,0.048,0.953,1.282,1.953,1.404
-0.195,0.047,0.952,1.404,1.892,1.587
-0.193,0.047,0.950,0.977,2.014,1.648
-0.190,0.047,0.955,0.732,1.892,1.160
-0.193,0.052,0.954,0.488,1.709,0.916
-0.193,0.053,0.953,0.732,1.770,0.977
-0.194,0.053,0.954,0.854,1.648,1.221
-0.195,0.051,0.953,1.282,2.075,1.160
-0.195,0.046,0.952,1.404,2.502,0.977
-0.192,0.046,0.953,0.916,1.831,0.916
-0.191,0.048,0.952,0.916,1.709,0.488
-0.192,0.052,0.955,0.610,1.831,0.488
-0.193,0.053,0.954,0.488,1.587,0.671
-0.191,0.053,0.954,1.160,1.587,1.038
-0.193,0.053,0.951,1.709,1.404,1.282
-0.196,0.049,0.953,1.648,1.953,1.404
-0.195,0.048,0.951,1.160,1.709,1.770
-0.192,0.046,0.952,1.038,2.136,1.526
-0.191,0.047,0.954,0.610,2.075,0.854
-0.193,0.051,0.953,0.549,1.099,0.916
-0.195,0.053,0.950,0.854,1.282,0.732
-0.200,0.056,0.953,1.038,1.770,0.916
-0.195,0.051,0.951,1.526,1.953,1.526
-0.190,0.043,0.953,1.282,2.441,1.221
-0.191,0.043,0.955,0.916,1.709,0.183
-0.191,0.049,0.953,0.732,1.343,-0.061
-0.190,0.053,0.955,0.305,1.526,-0.122
-0.198,0.057,0.948,0.549,1.160,0.549
-0.196,0.057,0.953,0.244,1.831,1.709
-0.194,0.054,0.955,1.099,1.709,1.831
-0.195,0.049,0.952,1.953,1.953,1.648
-0.193,0.046,0.950,1.099,1.587,1.953
-0.188,0.045,0.954,0.305,2.075,1.465
-0.193,0.051,0.956,0.061,1.343,0.916
-0.194,0.058,0.952,0.732,1.465,0.854
-0.194,0.059,0.954,0.916,1.465,1.404
-0.193,0.052,0.954,1.526,1.343,1.831
-0.194,0.047,0.953,1.831,2.136,1.221
-0.194,0.044,0.951,1.770,1.892,1.099
-0.193,0.046,0.954,0.732,1.526,0.549
-0.194,0.053,0.953,0.793,1.526,0.305
-0.193,0.055,0.954,1.343,1.526,0.488
-0.194,0.056,0.952,1.343,1.526,0.549
-0.198,0.053,0.954,1.709,1.526,0.671
-0.202,0.051,0.948,2.014,1.953,1.099
-0.200,0.047,0.952,1.282,1.709,2.014
-0.193,0.044,0.954,0.671,1.892,1.648
-0.190,0.043,0.953,0.488,1.953,1.038
-0.193,0.048,0.954,0.488,1.282,0.305
-0.196,0.053,0.952,-0.061,1.282,0.671
-0.199,0.059,0.957,0.244,2.014,0.427
-0.201,0.057,0.952,1.709,2.808,1.160
-0.196,0.048,0.950,1.831,2.441,1.465
-0.193,0.042,0.954,1.221,2.258,1.282
-0.193,0.046,0.951,0.671,2.014,0.916
-0.192,0.049,0.954,0.427,1.831,0.183
-0.194,0.055,0.957,0.610,1.648,0.183
-0.197,0.056,0.952,0.793,0.977,0.732
-0.198,0.056,0.951,1.465,1.587,1.526
-0.197,0.054,0.954,0.916,1.770,1.831
-0.195,0.048,0.952,1.282,2.258,2.136
-0.194,0.044,0.952,1.038,2.258,1.160
-0.194,0.047,0.955,0.244,1.404,1.099
-0.193,0.051,0.954,0.244,1.770,1.221

-0.192,0.055,0.954,0.366,1.526,1.343
-0.195,0.057,0.953,0.916,1.648,0.854
-0.199,0.053,0.952,1.831,2.014,1.221
-0.197,0.048,0.951,2.014,2.380,1.404
-0.194,0.045,0.953,1.709,2.258,1.221
-0.192,0.046,0.953,1.099,2.075,0.854
