aX,aY,aZ,gX,gY,gZ
-0.331,-0.925,-0.056,3.723,0.244,5.432
-0.465,-0.956,-0.053,3.418,1.160,6.653
-0.357,-0.931,-0.049,0.793,1.099,-0.549
-0.379,-0.936,-0.056,0.366,0.061,0.366
-0.368,-0.938,-0.048,-0.244,1.160,0.305
-0.366,-0.933,-0.058,15.442,0.183,1.587
-0.373,-0.945,-0.062,2.197,0.671,3.052
-0.360,-0.952,-0.044,0.977,1.770,3.113
-0.358,-0.949,-0.047,0.916,0.977,1.343
-0.367,-0.939,-0.065,0.671,0.549,0.610
-0.370,-0.940,-0.069,0.793,1.770,1.892
-0.396,-0.972,-0.045,0.732,2.625,2.197
-0.395,-0.968,-0.040,-0.122,1.709,0.977
-0.338,-0.950,-0.058,-0.549,0.854,0.183
-0.319,-0.925,-0.060,-0.122,1.282,0.366
-0.314,-0.927,-0.061,0.122,1.221,0.732
-0.374,-0.930,-0.043,0.488,1.648,1.709
-0.371,-0.937,-0.041,0.977,-0.183,1.282
-0.419,-0.942,-0.051,0.244,-1.221,0.671
-0.373,-0.948,-0.054,-0.244,0.610,1.953
-0.382,-0.960,-0.050,0.488,1.526,2.869
-0.325,-0.954,-0.062,0.977,1.343,2.319
-0.332,-0.947,-0.064,-2.625,1.648,0.916
-0.321,-0.931,-0.051,-6.531,2.930,1.038
-0.391,-0.957,-0.040,-5.432,1.526,0.305
-0.364,-0.952,-0.030,-4.395,-0.122,-0.244
-0.370,-0.948,-0.047,-7.446,-1.221,-0.122
-0.372,-0.947,-0.054,-6.165,0.183,-0.183
-0.361,-0.939,-0.020,-6.042,3.052,0.122
-0.356,-0.939,0.004,-8.423,0.671,-0.488
-0.373,-0.927,-0.030,-9.827,-2.258,-0.793
-0.368,-0.957,-0.013,-4.639,0.916,0.122
-0.369,-0.940,-0.005,-2.258,1.892,0.610
-0.370,-0.950,-0.001,-1.038,1.892,0.610
-0.379,-0.941,-0.013,-3.845,0.732,0.000
-0.365,-0.929,-0.011,-3.540,-0.671,-0.183
-0.381,-0.932,-0.023,-3.845,-0.061,2.075
-0.371,-0.973,0.022,-0.122,5.554,3.113
-0.368,-0.952,0.030,-1.221,3.235,0.366
-0.379,-0.938,0.002,-4.333,-0.366,-0.366
-0.380,-0.931,-0.021,-4.211,1.282,0.732
-0.365,-0.937,0.009,0.610,3.662,1.526
-0.367,-0.936,0.019,2.075,3.296,1.953
-0.374,-0.906,-0.013,1.221,0.244,0.916
-0.363,-0.939,0.003,0.671,2.136,2.319
-0.361,-0.958,0.028,1.770,3.235,2.686
-0.374,-0.951,0.003,3.174,1.099,2.686
-0.365,-0.949,-0.003,1.709,1.282,2.502
-0.363,-0.939,-0.011,1.709,1.648,2.441
-0.365,-0.959,0.002,1.953,2.563,3.174
-0.355,-0.964,0.009,0.244,3.174,2.075
-0.358,-0.958,0.011,0.122,2.441,1.038
-0.365,-0.951,0.001,-0.854,2.319,-0.244
-0.370,-0.950,0.005,-2.686,2.747,-0.610
-0.361,-0.947,0.022,-4.089,2.197,-0.793
-0.367,-0.932,0.015,-5.005,0.427,-0.793
-0.370,-0.937,0.023,-4.944,2.075,-0.183
-0.358,-0.926,0.032,-6.287,0.793,-0.183
-0.375,-0.936,0.005,-2.747,-2.075,1.709
-0.372,-0.964,0.022,0.366,-0.122,2.625
