aX,aY,aZ,gX,gY,gZ

-0.088,-0.019,0.974,0.427,1.892,2.075
-0.092,-0.017,0.974,0.610,1.587,2.075
-0.116,-0.049,0.975,0.488,1.282,2.197
-0.129,-0.037,0.970,0.549,0.854,1.709
-0.133,-0.039,0.971,0.793,2.014,2.258
-0.076,0.004,0.964,-0.061,1.404,2.258
-0.053,0.007,0.954,0.732,1.709,0.977
-0.090,-0.031,0.969,0.549,2.563,1.221
-0.133,-0.042,0.986,0.183,1.770,1.404
-0.134,-0.041,0.978,1.587,1.404,1.465
-0.108,-0.012,0.972,1.343,1.038,1.587
-0.054,0.012,0.961,1.160,0.854,1.587
-0.065,-0.014,0.957,1.709,0.916,1.160
-0.056,-0.007,0.956,0.732,1.404,1.038
-0.117,-0.040,0.970,0.366,2.075,0.854
-0.129,-0.027,0.981,0.610,2.197,1.282
-0.076,0.015,0.971,0.610,1.526,1.465
-0.050,0.013,0.962,0.671,1.465,1.831
-0.052,0.012,0.958,0.366,1.465,1.831
-0.095,-0.027,0.965,0.183,1.770,2.136
-0.138,-0.045,0.974,0.610,1.770,2.563
-0.106,-0.010,0.972,0.671,1.648,2.075
-0.114,-0.019,0.968,0.793,1.831,2.014
-0.054,0.012,0.959,0.793,1.953,1.648
-0.058,-0.012,0.963,0.610,2.075,1.099
-0.091,-0.017,0.971,0.549,1.831,0.854
-0.091,-0.016,0.971,0.610,1.709,0.305
-0.095,-0.014,0.968,0.549,1.343,0.305
-0.091,-0.012,0.972,0.549,1.160,0.610
-0.093,-0.011,0.970,0.916,1.038,0.732
-0.094,-0.014,0.966,0.427,1.099,0.366
-0.093,-0.007,0.967,0.000,1.099,0.488
-0.088,-0.006,0.970,0.366,1.221,0.488
-0.094,-0.007,0.966,0.488,0.793,0.610
-0.100,-0.001,0.959,0.854,1.587,1.404
-0.095,-0.002,0.958,0.427,1.343,1.953
-0.099,-0.006,0.956,0.977,2.014,1.831
-0.092,-0.005,0.968,0.610,2.869,2.136
-0.089,-0.005,0.974,0.671,2.441,2.197
-0.097,-0.008,0.967,1.587,1.892,1.892
-0.096,-0.009,0.964,1.343,2.136,2.136
-0.089,-0.003,0.963,1.160,2.563,1.831
-0.047,0.017,0.961,1.038,2.502,1.587
-0.046,0.019,0.967,0.122,2.380,1.831
-0.074,-0.016,0.972,0.732,2.380,1.404
-0.130,-0.043,0.981,0.977,1.587,1.465
-0.116,-0.012,0.975,0.793,1.282,1.221
-0.125,-0.014,0.970,0.366,1.221,1.282
-0.067,0.024,0.959,0.671,1.709,1.160
-0.058,0.012,0.960,0.183,1.892,1.587
-0.116,-0.026,0.970,0.671,2.136,1.892
-0.140,-0.027,0.971,0.854,1.953,2.380
-0.136,-0.038,0.981,0.671,1.404,2.686
-0.092,0.004,0.965,1.343,1.160,2.319
-0.044,0.018,0.960,0.793,1.282,2.014
-0.049,0.026,0.959,0.977,2.014,1.038
-0.073,-0.001,0.965,0.305,2.319,1.282
-0.139,-0.033,0.969,0.366,2.441,2.014
-0.132,-0.038,0.968,0.854,2.563,2.258
-0.131,-0.021,0.966,0.732,2.441,2.686
-0.063,0.021,0.969,0.488,2.197,2.258
-0.087,-0.002,0.968,1.221,2.136,1.709
-0.088,-0.006,0.969,0.610,2.197,1.587
-0.091,-0.008,0.964,0.732,2.197,0.916
-0.094,-0.002,0.972,0.183,2.563,1.465
-0.093,-0.002,0.967,0.977,1.770,1.221
-0.098,-0.005,0.964,0.610,1.953,1.343
-0.089,-0.006,0.973,1.099,2.380,1.465
-0.088,-0.005,0.973,1.160,1.648,1.282
-0.093,-0.007,0.966,1.526,1.221,1.404
-0.095,-0.003,0.964,1.282,1.221,1.404
-0.064,0.024,0.959,1.953,1.709,1.709
-0.045,0.014,0.992,1.038,2.075,1.770
-0.042,0.022,0.965,1.404,2.014,1.709
-0.104,-0.032,0.960,1.465,2.441,1.953
-0.144,-0.036,0.971,0.732,2.319,2.136
-0.091,0.019,0.969,1.404,2.075,2.075
-0.092,0.004,0.978,1.343,2.258,2.502
-0.041,0.031,0.972,0.793,1.831,1.831
-0.103,-0.017,0.957,1.099,1.831,1.892
-0.094,-0.014,0.966,0.488,2.014,2.014
-0.091,-0.005,0.971,1.404,2.014,1.892
-0.087,-0.011,0.971,0.977,1.465,1.892
-0.088,-0.008,0.966,1.099,1.221,1.282
-0.091,-0.006,0.965,0.854,1.526,1.099
-0.091,-0.006,0.965,1.221,1.831,1.343
-0.091,-0.004,0.967,0.977,1.892,1.404
-0.090,-0.004,0.966,0.854,1.831,1.587
-0.124,-0.018,0.970,1.160,1.892,1.465
-0.052,0.029,0.975,1.221,1.953,2.014
-0.051,0.009,0.995,1.526,1.770,1.526
-0.042,0.015,0.966,1.099,1.648,1.526
-0.105,-0.036,0.960,1.343,1.709,1.282
-0.145,-0.031,0.959,1.404,1.831,1.099
